setting	method	focus_layer	component	layer	alpha	alpha_std	para_abs	para_abs_std	perp_abs	perp_abs_std	x_norm	x_norm_std	delta_norm	delta_norm_std	delta_over_x	delta_over_x_std	para_over_x	para_over_x_std	perp_over_x	perp_over_x_std	perp_ratio	perp_ratio_std	count	run_dir	base_update_norm	base_update_norm_std	error_norm	error_norm_std	error_over_base_update	error_over_base_update_std	para_over_base_update	para_over_base_update_std	perp_over_base_update	perp_over_base_update_std	perp_ratio_to_base_update	perp_ratio_to_base_update_std
awq_native	awq_native_l14	14.0	mlp_out	14	-0.0300392750650644	0.009384412318468	0.423951655626297	0.1297230720520019	2.3123276233673096	0.3409783840179443	14.308375358581545	1.7635021209716797	2.3556160926818848	0.3328079879283905	0.1644803136587143	0.0087649757042527	0.0300392750650644	0.009384412318468	0.161388024687767	0.0096994061022996	0.9623677730560304	0.0251488536596298	12.0	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l14	14.308375358581545	1.7635021209716797	2.3556160926818848	0.3328079879283905	0.1644803136587143	0.0087649757042527	0.0300392750650644	0.009384412318468	0.161388024687767	0.0096994061022996	0.9623677730560304	0.0251488536596298
awq_native	awq_native_l15	15.0	attn_out	15	-0.0232599582523107	0.0103977899998426	0.226439356803894	0.0985309705138206	1.681085228919983	0.3972440361976623	10.134062767028809	2.2064037322998047	1.6995153427124023	0.3955768346786499	0.1673293858766555	0.0125772412866353	0.0232599582523107	0.0103977899998426	0.1653979867696762	0.0123157240450382	0.9773045182228088	0.0169761143624782	12.0	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l15	10.134062767028809	2.2064037322998047	1.6995153427124023	0.3955768346786499	0.1673293858766555	0.0125772412866353	0.0232599582523107	0.0103977899998426	0.1653979867696762	0.0123157240450382	0.9773045182228088	0.0169761143624782
awq_native	awq_native_l15	15.0	block_out	15	-0.0300623998045921	0.0117114065214991	0.4648845493793487	0.2254151254892349	2.5750458240509033	0.5622240304946899	15.10930633544922	3.770745515823364	2.622517347335815	0.5799038410186768	0.1746532320976257	0.0063256099820137	0.0300624016672372	0.0117114018648862	0.1716368198394775	0.0066078836098313	0.9658426642417908	0.0222623590379953	12.0	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l15	15.10930633544922	3.770745515823364	2.622517347335815	0.5799038410186768	0.1746532320976257	0.0063256099820137	0.0300624016672372	0.0117114018648862	0.1716368198394775	0.0066078836098313	0.9658426642417908	0.0222623590379953
awq_native	awq_native_l15	15.0	mlp_out	15	-0.0427467934787273	0.0119608612731099	0.6042910218238831	0.1889060139656067	2.35588002204895	0.5018443465232849	14.209195137023926	2.527757167816162	2.438922643661499	0.5045077204704285	0.1709996312856674	0.0075951381586492	0.0427467934787273	0.0119608612731099	0.1650855392217636	0.0086588216945528	0.9320455193519592	0.0369862988591194	12.0	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l15	14.209195137023926	2.527757167816162	2.438922643661499	0.5045077204704285	0.1709996312856674	0.0075951381586492	0.0427467934787273	0.0119608612731099	0.1650855392217636	0.0086588216945528	0.9320455193519592	0.0369862988591194
awq_native	awq_native_l16	16.0	attn_out	16	-0.0271580386906862	0.0146872028708457	0.2555242776870727	0.1377521157264709	1.5843548774719238	0.2229863405227661	9.016239166259766	1.063526272773743	1.609943985939026	0.2285865545272827	0.1792202442884445	0.0226564612239599	0.0278824102133512	0.0132606253027915	0.1764753013849258	0.0231604091823101	0.9690294861793518	0.0219604466110467	12.0	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l16	9.016239166259766	1.063526272773743	1.609943985939026	0.2285865545272827	0.1792202442884445	0.0226564612239599	0.0278824102133512	0.0132606253027915	0.1764753013849258	0.0231604091823101	0.9690294861793518	0.0219604466110467
awq_native	awq_native_l16	16.0	block_out	16	-0.0335677303373813	0.008987964130938	0.5147747993469238	0.2279137372970581	2.4921929836273193	0.427262544631958	14.72869110107422	2.667677164077759	2.5485081672668457	0.464351624250412	0.1730296015739441	0.0062883985228836	0.0335677303373813	0.00898795761168	0.1695048809051513	0.0062692645005881	0.959855318069458	0.0208693835884332	12.0	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l16	14.72869110107422	2.667677164077759	2.5485081672668457	0.464351624250412	0.1730296015739441	0.0062883985228836	0.0335677303373813	0.00898795761168	0.1695048809051513	0.0062692645005881	0.959855318069458	0.0208693835884332
awq_native	awq_native_l16	16.0	mlp_out	16	-0.0417671613395214	0.0126020507887005	0.6149364113807678	0.2777415812015533	2.325050592422486	0.4422415792942047	14.21353244781494	2.2408463954925537	2.4102296829223633	0.4975113868713379	0.1685580760240554	0.0118672968819737	0.0417671613395214	0.0126020554453134	0.1629563421010971	0.0097252009436488	0.9365137219429016	0.0322903096675872	12.0	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l16	14.21353244781494	2.2408463954925537	2.4102296829223633	0.4975113868713379	0.1685580760240554	0.0118672968819737	0.0417671613395214	0.0126020554453134	0.1629563421010971	0.0097252009436488	0.9365137219429016	0.0322903096675872
awq_native	awq_native_l17	17.0	attn_out	17	-0.0182246323674917	0.0137302866205573	0.192317709326744	0.1025006175041198	1.8096266984939575	0.3546854853630066	10.008103370666504	1.3305584192276	1.8241780996322632	0.3470116853713989	0.1814924329519271	0.0169776510447263	0.0198510941118001	0.0112513126805424	0.179961621761322	0.0179138965904712	0.9822824001312256	0.0201870501041412	12.0	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l17	10.008103370666504	1.3305584192276	1.8241780996322632	0.3470116853713989	0.1814924329519271	0.0169776510447263	0.0198510941118001	0.0112513126805424	0.179961621761322	0.0179138965904712	0.9822824001312256	0.0201870501041412
awq_native	awq_native_l17	17.0	block_out	17	-0.0335317887365818	0.008086884394288	0.5087196230888367	0.1173300817608833	2.6874959468841553	0.5107725262641907	15.45033359527588	2.47759747505188	2.7384722232818604	0.5068076848983765	0.1767107099294662	0.0068065831437706	0.0335317887365818	0.008086884394288	0.1732919365167617	0.0072889113798737	0.9615836143493652	0.0189566984772682	12.0	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l17	15.45033359527588	2.47759747505188	2.7384722232818604	0.5068076848983765	0.1767107099294662	0.0068065831437706	0.0335317887365818	0.008086884394288	0.1732919365167617	0.0072889113798737	0.9615836143493652	0.0189566984772682
awq_native	awq_native_l17	17.0	mlp_out	17	-0.0338940024375915	0.0105621740221977	0.5152289271354675	0.185254231095314	2.376396417617798	0.4272419214248657	15.110057830810549	1.7454731464385986	2.4360146522521973	0.4420485496520996	0.1601438969373703	0.0114460038021206	0.0338940024375915	0.0105621740221977	0.1562258750200271	0.0104969823732972	0.9525331854820251	0.0255893841385841	12.0	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l17	15.110057830810549	1.7454731464385986	2.4360146522521973	0.4420485496520996	0.1601438969373703	0.0114460038021206	0.0338940024375915	0.0105621740221977	0.1562258750200271	0.0104969823732972	0.9525331854820251	0.0255893841385841
