status	status_detail	family	model	ckpt_label	source_line	nonempty_metrics	avg	lambada_openai	arc_easy	boolq	hellaswag	openbookqa	piqa	rte	winogrande
exclude	duplicate_noncanonical	0p7b	xsa-paper-0p7b-xsa-lgate	xsa-paper-0p7b-xsa-lgate	27	6	50.94	17.1433	50.38	57.49	45.86	31.6	69.37		
exclude	incomplete_metrics_lt_6	0p7b	xsa-paper-0p7b-xsa-xfrresidual-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb256-lr5e-4-s1337	xsa-paper-0p7b-xsa-xfrresidual-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb256-lr5e-4-s1337	29	1	51.89		51.89						
exclude	incomplete_metrics_lt_6	0p7b	xsa-paper-0p7b-xsa-xfrresidual-xftmlp-xl0--1-xs1-fineweb100bt-ctx2048-gb256-lr5e-4-s1337	xsa-paper-0p7b-xsa-xfrresidual-xftmlp-xl0--1-xs1-fineweb100bt-ctx2048-gb256-lr5e-4-s1337	30	1	48.23		48.23						
exclude	incomplete_metrics_lt_6	0p7b	xsa-paper-0p7b-xsa-xfrresidual-xsppre_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb256-lr5e-4-s1337	xsa-paper-0p7b-xsa-xfrresidual-xsppre_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb256-lr5e-4-s1337	31	1	53.11		53.11						
exclude	unstable_lambada_gt_1000	0p7b	xsa-paper-0p7b-xsa-xfrresidual-xsppre_o_proj-xftattn-xl0--1-xs1-gb4096-lr5e-4-minlr5e-5-s1337-lrlr10	xsa-paper-0p7b-xsa-xfrresidual-xsppre_o_proj-xftattn-xl0--1-xs1-gb4096-lr5e-4-minlr5e-5-s1337-lrlr10	33	8	38.83	706963254002970.0	25.21	38.35	25.6	29.4	51.52	52.71	49.01
exclude	duplicate_noncanonical	0p7b	xsa-paper-0p7b-xsa-xfrself_value-xsppre_o_proj-xftattn-var-gamma-h0p9-xl0--1-xs1-gb4096-lr5e-4-minlr5e-5-s1337-lrlr10	xsa-paper-0p7b-xsa-xfrself_value-xsppre_o_proj-xftattn-var-gamma-h0p9-xl0--1-xs1-gb4096-lr5e-4-minlr5e-5-s1337-lrlr10	35	8	44.01	161.8588	33.67	50.92	31.37	32.0	59.3	51.62	49.17
exclude	duplicate_noncanonical	0p7b	xsa-paper-0p7b-xsa-xfrself_value-xsppre_o_proj-xftattn-var-gamma-h1p0-xl0--1-xs1-gb4096-lr5e-4-minlr5e-5-s1337-lrlr10	xsa-paper-0p7b-xsa-xfrself_value-xsppre_o_proj-xftattn-var-gamma-h1p0-xl0--1-xs1-gb4096-lr5e-4-minlr5e-5-s1337-lrlr10	37	8	45.77	105.9456	34.64	54.4	32.8	31.4	62.24	55.6	49.33
exclude	unstable_lambada_gt_1000	0p7b	xsa-paper-0p7b-xsa-xfrself_value-xsppre_o_proj-xftattn-xlg1p0-xl0--1-xs1-gb4096-lr5e-4-minlr5e-5-s1337-lrlr10	xsa-paper-0p7b-xsa-xfrself_value-xsppre_o_proj-xftattn-xlg1p0-xl0--1-xs1-gb4096-lr5e-4-minlr5e-5-s1337-lrlr10	39	8	38.84	711332626382322.1	25.29	38.32	25.58	29.6	51.74	52.71	48.62
exclude	duplicate_noncanonical	0p7b	xsa-paper-0p7b-xsa-xfrself_value-xsppre_o_proj-xftattn-xlg1p0-xl0--1-xs1-gb4096-lr5e-4-minlr5e-5-s1337-lrlr10	xsa-paper-0p7b-xsa-xfrself_value-xsppre_o_proj-xftattn-xlg1p0-xl0--1-xs1-gb4096-lr5e-4-minlr5e-5-s1337-lrlr10	40	8	38.84	711332626382322.1	25.29	38.32	25.58	29.6	51.74	52.71	48.62
exclude	unstable_lambada_gt_1000	0p7b	xsa-paper-0p7b-xsa-xfrself_value-xsppre_o_proj-xftattn-xlgh1p0-xl0--1-xs1-gb2048-lr5e-4-minlr5e-5-s1337-lrlr10	xsa-paper-0p7b-xsa-xfrself_value-xsppre_o_proj-xftattn-xlgh1p0-xl0--1-xs1-gb2048-lr5e-4-minlr5e-5-s1337-lrlr10	41	8	38.84	711332626382322.1	25.29	38.32	25.58	29.6	51.74	52.71	48.62
