model,ckpt_label,checkpoint_name,save_step,tokens_seen_b,arc_easy,boolq,hellaswag,lambada_openai,openbookqa,piqa,rte,winogrande,avg
2p7,xsa-paper-2p7b-baseline-fineweb100bt-ctx2048-gb8192-lr3e-4-s1337,ckpt.pt,43000.0,,45.75,58.47,29.96,9.1163,31.8,67.9,54.51,51.54,48.56
2p7,xsa-paper-2p7b-baseline-fineweb100bt-ctx2048-gb8192-lr3e-4-s1337,ckpt_best.pt,40000.0,,44.95,62.69,29.9,9.3816,32.6,65.51,54.87,52.64,49.02
2p7,xsa-paper-2p7b-attn_para_removal-xfrresidual-xsppost_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb8192-lr3e-4-s1337,ckpt.pt,10000.0,,37.71,60.49,26.45,14.4106,33.6,59.74,52.35,52.09,46.06
2p7,xsa-paper-2p7b-attn_para_removal-xfrresidual-xsppost_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb8192-lr3e-4-s1337,ckpt_best.pt,10000.0,,37.71,60.49,26.45,14.4106,33.6,59.19,52.35,48.62,45.49
2p7,xsa-paper-2p7b-axon-hard-kftrue-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-fw-ctx2048-gb8192-lr3e-4-min3e-5-s1337-lrlr10,ckpt.pt,9000.0,,52.69,59.36,46.53,15.1051,32.6,70.95,55.96,52.64,52.96
2p7,xsa-paper-2p7b-axon-hard-kftrue-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-fw-ctx2048-gb8192-lr3e-4-min3e-5-s1337-lrlr10,ckpt_best.pt,8000.0,,51.64,59.63,44.83,17.2856,30.2,70.73,53.07,54.06,52.02
attnres-forward-only-xobjnone-s1337,attnres-forward-only-xobjnone-s1337,ckpt.pt,7000.0,,39.69,58.29,,93.2974,28.2,58.92,,,46.28
baseline,baseline,ckpt.pt,38000.0,,43.9,59.69,,44.4945,28.4,60.39,,,48.1
residual-dualgate-param-rlr1.0-ap1.0-mp1.0-bs1.0-s1337,residual-dualgate-param-rlr1.0-ap1.0-mp1.0-bs1.0-s1337,ckpt.pt,8000.0,,39.39,53.12,,,,,,,46.26
residual-dualgate-wx-rlr0.001-wx1.0-bwx1.0-s1337,residual-dualgate-wx-rlr0.001-wx1.0-bwx1.0-s1337,ckpt.pt,86000.0,,,,,,27.0,,,,27.0
