model,setting,openbookqa,piqa,rte,winogrande,boolq,arc_challenge,hellaswag,mmlu,gsm8k,humaneval,nq_open,drop,mbpp,bbh_cot_zeroshot,mts_dialog,ruler,truthfulqa_gen,avg
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps1,37.2,72.14,70.04,60.69,77.71,53.24,60.16,35.0,68.01,38.41,9.7,7.34,43.2,78.8,,,,50.83
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps1.5,37.2,72.58,70.4,59.98,77.8,53.24,60.14,35.0,68.16,40.24,9.72,7.47,42.4,76.0,,,,50.74
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps10,36.8,71.11,67.87,60.46,75.38,51.28,58.81,43.0,64.29,34.76,9.03,8.1,34.4,84.4,,,,49.98
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps100,26.0,50.16,53.07,47.91,47.25,24.49,26.14,21.0,0.0,0.0,0.0,0.66,0.0,0.0,,,,21.19
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps12.5,35.2,70.51,65.7,61.4,73.67,50.68,57.89,40.0,59.82,33.54,8.86,7.81,28.4,86.4,,,,48.56
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps15,35.8,70.02,63.9,61.48,71.25,48.89,56.82,39.0,53.9,33.54,8.53,7.03,21.4,84.0,,,,46.83
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps17.5,35.6,69.37,62.82,61.33,69.88,47.27,55.84,39.0,45.72,23.78,7.87,5.7,17.6,81.2,,,,44.5
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps2,37.4,72.47,70.76,60.06,77.98,52.9,60.15,34.0,67.93,40.24,9.7,7.42,42.6,81.2,,,,51.06
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps2.5,37.2,72.14,70.4,60.14,77.71,53.07,60.24,36.0,68.39,41.46,9.58,7.49,41.4,78.8,,,,51.0
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps20,34.0,68.72,59.21,60.3,68.13,46.08,54.34,32.0,32.83,17.07,6.7,4.44,17.2,73.6,,,,41.04
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps3,37.0,72.14,70.76,59.51,77.92,52.56,60.14,36.0,66.72,40.85,9.67,7.59,42.4,84.0,,,,51.23
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps3.5,37.4,71.76,70.4,60.06,77.52,52.99,60.1,38.0,67.32,39.63,9.81,7.81,41.4,78.0,,,,50.87
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps30,31.8,65.13,53.43,53.99,55.47,36.43,45.44,24.0,1.97,1.83,2.94,3.22,5.2,3.2,,,,27.43
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps4,37.6,72.42,69.68,59.67,77.92,52.56,59.99,37.0,67.78,39.02,9.81,7.91,40.4,74.8,,,,50.47
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps4.5,37.6,72.03,70.76,59.51,77.61,52.47,59.99,39.0,66.94,39.02,9.72,7.81,41.6,80.4,,,,51.03
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps5,37.2,71.76,70.76,59.83,77.71,52.3,59.98,37.0,66.79,39.02,9.58,7.95,40.8,80.8,,,,50.82
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps50,30.2,52.94,51.99,51.46,43.06,22.95,28.29,31.0,0.0,0.0,0.0,1.97,0.0,0.0,,,,22.42
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps6,37.6,71.65,69.31,59.67,77.46,52.22,59.87,37.0,67.55,38.41,9.31,7.98,39.2,79.2,,,,50.46
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps7,37.0,71.33,69.31,59.67,77.55,51.71,59.75,38.0,65.2,38.41,9.28,8.06,39.4,84.4,,,,50.65
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps8,37.0,70.89,69.31,59.43,76.88,51.45,59.4,40.0,65.13,37.2,9.06,8.12,37.6,81.2,,,,50.19
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps9,36.8,70.67,68.95,59.98,76.15,51.88,59.06,42.0,65.28,34.15,9.09,8.2,36.4,84.0,,,,50.19
Qwen_Qwen3-1.7B,xsa_middle_multihead-remove_parallel-a0p25,37.2,72.47,70.04,60.77,77.4,53.33,60.18,34.0,67.93,39.63,9.7,7.33,43.0,82.4,,,,51.1
Qwen_Qwen3-1.7B,xsa_middle_multihead-remove_parallel-a0p5,36.4,72.09,70.4,59.98,77.52,53.24,60.23,34.0,68.61,41.46,9.7,7.35,43.4,80.0,,,,51.03
Qwen_Qwen3-1.7B,xsa_middle_multihead-remove_parallel-a17p5,35.4,,,,,,,,,,,,,,,,,35.4
Qwen_Qwen3-1.7B,xsa_middle_multihead-remove_parallel-a1p0,37.0,71.93,70.4,60.3,77.74,53.41,60.2,35.0,67.17,40.24,9.72,7.34,42.8,82.4,,,,51.12
Qwen_Qwen3-1.7B,xsa_middle_multihead-remove_parallel-a1p5,37.0,71.76,70.76,60.93,77.61,53.58,60.13,35.0,68.39,41.46,9.61,7.21,42.2,80.0,,,,51.12
Qwen_Qwen3-1.7B,xsa_middle_multihead-remove_parallel-a2p0,36.4,72.09,70.4,60.22,77.55,53.33,60.2,35.0,66.94,40.24,9.64,7.21,41.6,78.0,,,,50.63
Qwen_Qwen3-1.7B,xsa_middle_multihead-remove_parallel-a4p0,36.2,71.98,71.12,59.75,77.19,53.58,60.02,35.0,65.88,39.63,9.67,7.08,42.0,84.0,,,,50.94
Qwen_Qwen3-1.7B-Base,none,35.6,70.35,54.15,50.83,55.6,33.36,45.1,22.0,0.0,0.0,2.94,0.62,0.0,0.4,,,,26.5
Qwen_Qwen3-1.7B-Base,xsa_middle_multihead,35.4,70.13,55.96,50.75,55.17,34.13,44.9,21.0,0.0,0.0,2.91,0.62,0.0,0.4,,,,26.53
Qwen_Qwen3-1.7B-Base,xsa_middle_multihead-add_parallel-a1p0,35.4,70.18,55.6,50.75,55.9,33.45,44.94,23.0,0.0,0.0,2.99,0.59,0.0,0.0,,,,26.63
Qwen_Qwen3-1.7B-Base,xsa_middle_multihead-remove_parallel-a0p25,36.0,70.18,56.68,49.49,55.29,33.28,45.14,23.0,0.0,0.0,3.05,0.63,0.0,0.4,,,,26.65
Qwen_Qwen3-1.7B-Base,xsa_middle_multihead-remove_parallel-a0p5,36.0,69.97,54.87,49.88,55.72,33.28,44.94,24.0,0.0,0.0,2.91,0.62,0.0,,,,,28.63
Qwen_Qwen3-14B,none,43.4,77.75,77.98,75.22,66.39,63.91,76.35,49.0,0.0,0.0,6.26,1.84,0.0,38.4,,,,41.18
Qwen_Qwen3-14B,xsa_middle_multihead-add_parallel-a0p25,43.2,77.69,78.34,75.06,66.21,64.25,76.42,49.0,0.0,0.61,6.29,1.88,0.0,40.8,,,,41.41
Qwen_Qwen3-14B,xsa_middle_multihead-add_parallel-a0p5,43.6,78.02,77.98,75.93,65.96,63.99,76.35,49.0,0.0,0.0,6.34,1.88,0.0,35.6,,,,41.05
Qwen_Qwen3-14B,xsa_middle_multihead-add_parallel-a1p0,43.8,78.02,78.34,75.14,65.96,64.59,76.38,51.0,0.0,0.0,6.2,1.75,0.0,39.2,,,,41.46
Qwen_Qwen3-14B,xsa_middle_multihead-add_parallel-a1p5,43.4,77.69,77.98,75.53,65.63,64.08,76.32,50.0,0.0,0.61,6.12,1.78,0.0,40.0,,,,41.37
Qwen_Qwen3-14B,xsa_middle_multihead-add_parallel-a2p0,43.4,77.97,78.34,75.45,65.41,64.16,76.41,52.0,0.0,0.61,6.18,1.78,0.0,40.0,,,,41.55
Qwen_Qwen3-14B,xsa_middle_multihead-add_parallel-a4p0,43.0,77.75,78.34,75.3,64.43,64.85,76.36,50.0,0.0,0.61,6.09,1.87,0.0,36.0,,,,41.04
Qwen_Qwen3-14B,xsa_middle_multihead-remove_parallel-a0p25,43.4,77.69,77.98,75.69,66.02,64.08,76.49,48.0,0.0,0.0,6.18,1.85,0.0,38.0,,,,41.1
Qwen_Qwen3-14B,xsa_middle_multihead-remove_parallel-a0p5,43.4,77.8,77.62,75.53,66.61,64.08,76.48,47.0,0.0,0.0,6.37,1.89,0.0,39.2,,,,41.14
Qwen_Qwen3-14B,xsa_middle_multihead-remove_parallel-a1p0,43.2,77.69,77.98,75.06,66.64,64.16,76.43,48.0,0.0,0.0,6.32,1.89,0.0,41.6,,,,41.36
Qwen_Qwen3-14B,xsa_middle_multihead-remove_parallel-a1p5,43.2,77.91,77.26,75.61,66.79,63.99,76.46,49.0,0.0,0.61,6.2,1.77,0.0,37.6,,,,41.17
Qwen_Qwen3-14B,xsa_middle_multihead-remove_parallel-a2p0,42.8,77.91,77.98,75.22,66.79,63.91,76.29,47.0,0.0,0.0,6.34,1.77,0.0,39.6,,,,41.12
Qwen_Qwen3-14B,xsa_middle_multihead-remove_parallel-a4p0,43.8,77.53,76.9,74.9,67.43,64.16,76.39,49.0,0.0,0.0,6.15,1.73,0.0,34.8,,,,40.91
Qwen_Qwen3-30B-A3B,attn_diag_zero_renorm,31.0,55.93,50.9,49.96,38.2,26.62,33.72,13.0,0.0,0.0,0.3,1.43,,,,,,25.09
Qwen_Qwen3-30B-A3B,none,45.4,80.2,81.95,72.3,88.65,70.05,77.8,67.0,89.76,32.32,25.12,5.46,72.2,95.2,,,,64.53
Qwen_Qwen3-30B-A3B,residual_attn,43.0,78.78,79.06,66.61,88.04,64.93,73.62,50.0,39.88,14.63,16.45,5.88,,,,,,51.74
Qwen_Qwen3-30B-A3B,residual_mlp,32.6,62.51,60.65,56.91,63.82,34.9,52.25,32.0,10.08,13.41,6.81,,,,,,,38.72
Qwen_Qwen3-30B-A3B,xsa_middle_multihead,45.2,80.79,82.67,72.22,88.59,69.88,77.84,67.0,89.76,31.71,25.18,5.38,71.8,,,,,62.16
Qwen_Qwen3-30B-A3B,xsa_middle_multihead-add_parallel-a1p0,45.2,80.41,82.67,72.61,88.72,69.97,77.71,66.0,89.84,31.1,25.24,5.6,71.6,,,,,62.05
Qwen_Qwen3-30B-A3B,xsa_middle_multihead-ps-17.5,44.4,80.47,79.78,70.96,87.68,67.58,76.48,65.0,,,,,,,,,,71.54
Qwen_Qwen3-4B,attn_diag_zero_renorm,26.6,51.09,53.07,51.7,37.83,23.29,26.25,22.0,0.0,0.0,0.06,0.85,0.0,4.0,,,,21.2
Qwen_Qwen3-4B,none,33.4,72.52,47.29,64.4,62.17,47.1,69.63,59.0,84.46,73.17,15.9,9.95,62.2,84.0,,,,56.08
Qwen_Qwen3-4B,xsa_middle_multihead,33.8,72.2,47.29,63.85,62.17,47.7,,,,,,9.9,62.4,75.6,,,,52.77
Qwen_Qwen3-4B,xsa_middle_multihead-add_parallel-a0p25,39.8,74.76,75.81,67.32,85.08,61.77,69.65,59.0,85.06,70.12,15.73,9.87,62.0,80.0,,,,61.14
Qwen_Qwen3-4B,xsa_middle_multihead-add_parallel-a0p5,40.4,74.65,75.45,67.4,84.98,61.6,69.63,61.0,84.99,71.95,15.73,9.91,62.0,82.8,,,,61.61
Qwen_Qwen3-4B,xsa_middle_multihead-add_parallel-a1p0,40.2,75.14,75.81,67.17,85.02,61.6,69.68,60.0,85.14,71.95,15.73,9.91,62.4,80.4,,,,61.44
