model_size,curve_name,original_run_name,x_name,step,val_loss,clip_min_step,clip_max_step
296m,Baseline,run_20260417_f5116792,Step,3939.0,2.868108,600,4242.0
296m,Baseline,run_20260417_f5116792,Step,4040.0,2.860377,600,4242.0
296m,Baseline,run_20260417_f5116792,Step,4141.0,2.847222,600,4242.0
296m,Baseline,run_20260417_f5116792,Step,4242.0,2.849748,600,4242.0
296m,Residual Rotation,run_20260417_5471a202,Step,606.0,3.208827,600,4242.0
296m,Residual Rotation,run_20260417_5471a202,Step,707.0,3.163234,600,4242.0
296m,Residual Rotation,run_20260417_5471a202,Step,808.0,3.116689,600,4242.0
296m,Residual Rotation,run_20260417_5471a202,Step,909.0,3.097184,600,4242.0
296m,Residual Rotation,run_20260417_5471a202,Step,1010.0,3.068365,600,4242.0
296m,Residual Rotation,run_20260417_5471a202,Step,1111.0,3.046197,600,4242.0
296m,Residual Rotation,run_20260417_5471a202,Step,1212.0,3.021792,600,4242.0
296m,Residual Rotation,run_20260417_5471a202,Step,1313.0,3.012772,600,4242.0
296m,Residual Rotation,run_20260417_5471a202,Step,1414.0,2.995866,600,4242.0
296m,Residual Rotation,run_20260417_5471a202,Step,1515.0,2.98888,600,4242.0
296m,Residual Rotation,run_20260417_5471a202,Step,1616.0,2.972329,600,4242.0
296m,Residual Rotation,run_20260417_5471a202,Step,1717.0,2.962424,600,4242.0
296m,Residual Rotation,run_20260417_5471a202,Step,1818.0,2.939601,600,4242.0
296m,Residual Rotation,run_20260417_5471a202,Step,1919.0,2.946303,600,4242.0
296m,Residual Rotation,run_20260417_5471a202,Step,2020.0,2.929389,600,4242.0
296m,Residual Rotation,run_20260417_5471a202,Step,2121.0,2.929702,600,4242.0
296m,Residual Rotation,run_20260417_5471a202,Step,2222.0,2.922677,600,4242.0
296m,Residual Rotation,run_20260417_5471a202,Step,2323.0,2.913791,600,4242.0
296m,Residual Rotation,run_20260417_5471a202,Step,2424.0,2.919341,600,4242.0
296m,Residual Rotation,run_20260417_5471a202,Step,2525.0,2.908579,600,4242.0
296m,Residual Rotation,run_20260417_5471a202,Step,2626.0,2.900296,600,4242.0
296m,Residual Rotation,run_20260417_5471a202,Step,2727.0,2.893413,600,4242.0
296m,Residual Rotation,run_20260417_5471a202,Step,2828.0,2.895582,600,4242.0
296m,Residual Rotation,run_20260417_5471a202,Step,2929.0,2.888916,600,4242.0
296m,Residual Rotation,run_20260417_5471a202,Step,3030.0,2.881916,600,4242.0
296m,Residual Rotation,run_20260417_5471a202,Step,3131.0,2.875861,600,4242.0
296m,Residual Rotation,run_20260417_5471a202,Step,3232.0,2.880088,600,4242.0
296m,Residual Rotation,run_20260417_5471a202,Step,3333.0,2.873,600,4242.0
296m,Residual Rotation,run_20260417_5471a202,Step,3434.0,2.878112,600,4242.0
296m,Residual Rotation,run_20260417_5471a202,Step,3535.0,2.864887,600,4242.0
296m,Residual Rotation,run_20260417_5471a202,Step,3636.0,2.861552,600,4242.0
296m,Residual Rotation,run_20260417_5471a202,Step,3737.0,2.861919,600,4242.0
296m,Residual Rotation,run_20260417_5471a202,Step,3838.0,2.859401,600,4242.0
296m,Residual Rotation,run_20260417_5471a202,Step,3939.0,2.864009,600,4242.0
296m,Residual Rotation,run_20260417_5471a202,Step,4040.0,2.855752,600,4242.0
296m,Residual Rotation,run_20260417_5471a202,Step,4141.0,2.8433,600,4242.0
296m,Residual Rotation,run_20260417_5471a202,Step,4242.0,2.845325,600,4242.0
296m,Value-Space Rotation,run_20260430_286be9fc,Step,606.0,3.12741,600,4242.0
296m,Value-Space Rotation,run_20260430_286be9fc,Step,707.0,3.08764,600,4242.0
296m,Value-Space Rotation,run_20260430_286be9fc,Step,808.0,3.052495,600,4242.0
296m,Value-Space Rotation,run_20260430_286be9fc,Step,909.0,3.033311,600,4242.0
296m,Value-Space Rotation,run_20260430_286be9fc,Step,1010.0,3.008201,600,4242.0
296m,Value-Space Rotation,run_20260430_286be9fc,Step,1111.0,2.987477,600,4242.0
296m,Value-Space Rotation,run_20260430_286be9fc,Step,1212.0,2.968736,600,4242.0
296m,Value-Space Rotation,run_20260430_286be9fc,Step,1313.0,2.963561,600,4242.0
296m,Value-Space Rotation,run_20260430_286be9fc,Step,1414.0,2.947151,600,4242.0
296m,Value-Space Rotation,run_20260430_286be9fc,Step,1515.0,2.943108,600,4242.0
296m,Value-Space Rotation,run_20260430_286be9fc,Step,1616.0,2.929624,600,4242.0
296m,Value-Space Rotation,run_20260430_286be9fc,Step,1717.0,2.921025,600,4242.0
296m,Value-Space Rotation,run_20260430_286be9fc,Step,1818.0,2.901341,600,4242.0
296m,Value-Space Rotation,run_20260430_286be9fc,Step,1919.0,2.908447,600,4242.0
296m,Value-Space Rotation,run_20260430_286be9fc,Step,2020.0,2.893596,600,4242.0
296m,Value-Space Rotation,run_20260430_286be9fc,Step,2121.0,2.892352,600,4242.0
296m,Value-Space Rotation,run_20260430_286be9fc,Step,2222.0,2.888152,600,4242.0
296m,Value-Space Rotation,run_20260430_286be9fc,Step,2323.0,2.880115,600,4242.0
296m,Value-Space Rotation,run_20260430_286be9fc,Step,2424.0,2.88802,600,4242.0
296m,Value-Space Rotation,run_20260430_286be9fc,Step,2525.0,2.877583,600,4242.0
296m,Value-Space Rotation,run_20260430_286be9fc,Step,2626.0,2.872064,600,4242.0
296m,Value-Space Rotation,run_20260430_286be9fc,Step,2727.0,2.864683,600,4242.0
296m,Value-Space Rotation,run_20260430_286be9fc,Step,2828.0,2.86862,600,4242.0
296m,Value-Space Rotation,run_20260430_286be9fc,Step,2929.0,2.863825,600,4242.0
296m,Value-Space Rotation,run_20260430_286be9fc,Step,3030.0,2.854666,600,4242.0
296m,Value-Space Rotation,run_20260430_286be9fc,Step,3131.0,2.849779,600,4242.0
296m,Value-Space Rotation,run_20260430_286be9fc,Step,3232.0,2.855721,600,4242.0
296m,Value-Space Rotation,run_20260430_286be9fc,Step,3333.0,2.848225,600,4242.0
296m,Value-Space Rotation,run_20260430_286be9fc,Step,3434.0,2.855342,600,4242.0
296m,Value-Space Rotation,run_20260430_286be9fc,Step,3535.0,2.841917,600,4242.0
296m,Value-Space Rotation,run_20260430_286be9fc,Step,3636.0,2.838654,600,4242.0
296m,Value-Space Rotation,run_20260430_286be9fc,Step,3737.0,2.839995,600,4242.0
296m,Value-Space Rotation,run_20260430_286be9fc,Step,3838.0,2.83877,600,4242.0
296m,Value-Space Rotation,run_20260430_286be9fc,Step,3939.0,2.842355,600,4242.0
296m,Value-Space Rotation,run_20260430_286be9fc,Step,4040.0,2.834476,600,4242.0
