scope,layer,head,removed_fraction,baseline_loss,edited_loss,delta_loss,baseline_ppl,edited_ppl,delta_ppl,para_ratio,para_over_ref,edit_over_y,edit_over_ref,tokens,samples
single_head,13,8,1.0,3.7300255280356454,3.7283456169877867,-0.0016799110478586954,41.68017216336902,41.61021196158596,-0.0699602017830614,0.1882644039500398,0.1654279619949045,0.3646871322567172,0.16542796101514406,36302.0,256
single_head,13,9,1.0,3.7300255280356454,3.731237918731234,0.0012123906955885388,41.68017216336902,41.73073546133287,0.05056329796384773,0.10209516317314402,0.08404980156500348,0.2597504666363824,0.08404980119759332,36302.0,256
single_head,13,10,1.0,3.7300255280356454,3.7265331711127314,-0.0034923569229139417,41.68017216336902,41.5348640072268,-0.14530815614222092,0.2707876369799149,0.24676708840154263,0.4454972318710772,0.24676708840154263,36302.0,256
single_head,13,11,1.0,3.7300255280356454,3.74789260411143,0.017867076075784638,41.68017216336902,42.4315676009453,0.7513954375762779,0.4040452029565126,0.21195167403357684,0.5422737931843914,0.2119516730538164,36302.0,256
single_head,13,12,1.0,3.7300255280356454,3.7336322884672333,0.0036067604315879187,41.68017216336902,41.8307739881996,0.1506018248305807,0.14987756487370088,0.1216454959671963,0.30277680009660907,0.12164549547731608,36302.0,256
single_head,13,13,1.0,3.7300255280356454,3.727820003783366,-0.0022055242522793783,41.68017216336902,41.58834683154413,-0.09182533182489294,0.2254695938872605,0.17427429884071297,0.37728095676161993,0.17427429933059319,36302.0,256
single_head,13,14,1.0,3.7300255280356454,3.7266190931177174,-0.003406434917927914,41.68017216336902,41.53843291934097,-0.14173924402805227,0.2618106931689096,0.1394307511416482,0.41619754299909906,0.13943075163152843,36302.0,256
single_head,13,15,1.0,3.7300255280356454,3.733315131623688,0.0032896035880427554,41.68017216336902,41.8175091755827,0.13733701221367767,0.2522509212256305,0.13257410052622698,0.4073140462892757,0.13257410052622698,36302.0,256
all_heads_one_layer,13,all,1.0,3.7300255280356454,3.741573052750193,0.011547524714547563,41.68017216336902,42.16426463715757,0.48409247378855014,0.2626100860787736,0.18749092325436162,0.4194518927357018,0.18749092374424184,36302.0,256
single_head,22,0,1.0,3.7300255280356454,3.7302935097304384,0.00026798169479302913,41.68017216336902,41.6913431832922,0.011171019923175152,0.03614575397192138,0.018990110306955965,0.13714660623956282,0.018990110306955965,36302.0,256
single_head,22,1,1.0,3.7300255280356454,3.730298392273928,0.00027286423828254414,41.68017216336902,41.69154674358537,0.011374580216347852,0.06354328467571278,0.027931416740432178,0.20249117141788298,0.027931416740432178,36302.0,256
single_head,22,2,1.0,3.7300255280356454,3.7320612258579073,0.0020356978222619837,41.68017216336902,41.76510682039043,0.08493465702140668,0.20070804367173203,0.0853320446678192,0.3802408693812542,0.08533204417793898,36302.0,256
single_head,22,3,1.0,3.7300255280356454,3.7308509199949382,0.000825391959292876,41.68017216336902,41.714588844006414,0.034416680637392005,0.09879314478453767,0.04810323540077783,0.2681576322342689,0.04810323546201285,36302.0,256
single_head,22,4,1.0,3.7300255280356454,3.7311641560081057,0.0011386279724603376,41.68017216336902,41.7276574021715,0.04748523880248001,0.24164691276937297,0.05522395141687782,0.3676832764173512,0.05522395141687782,36302.0,256
single_head,22,5,1.0,3.7300255280356454,3.7309636825385826,0.0009381545029372163,41.68017216336902,41.71929295237017,0.039120789001145795,0.1960389926097689,0.05114645086572338,0.33150788401859294,0.05114645074325332,36302.0,256
single_head,22,6,1.0,3.7300255280356454,3.7300428052453207,1.7277209675370386e-05,41.68017216336902,41.680892286663635,0.0007201232946130176,0.27256532901515546,0.1474092235396177,0.43864448756052254,0.14740922255985725,36302.0,256
single_head,22,7,1.0,3.7300255280356454,3.733427813464134,0.0034022854284887494,41.68017216336902,41.82222151497202,0.14204935160299925,0.21387021936867562,0.1185760473552864,0.4107728475352927,0.11857604760022651,36302.0,256
single_head,22,8,1.0,3.7300255280356454,3.730837617417773,0.0008120893821277342,41.68017216336902,41.71403393616026,0.033861772791240696,0.13559305914348183,0.04466207700714429,0.2841987066096238,0.04466207731331943,36302.0,256
single_head,22,9,1.0,3.7300255280356454,3.729397515923279,-0.0006280121123665161,41.68017216336902,41.65400472799812,-0.02616743537090116,0.1206254448406317,0.038962935397112736,0.25988523562392024,0.038962935397112736,36302.0,256
single_head,22,10,1.0,3.7300255280356454,3.729119459779248,-0.0009060682563974964,41.68017216336902,41.64242418615502,-0.03774797721400347,0.33605344044131924,0.10951099442290574,0.47460434980871313,0.10951099442290574,36302.0,256
