source,phase,layer,part,metric,n,mean,median,p10,p90,min,max
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,17,attn_update,value_pre_self_value_norm,1013,27.80027380253226,27.562158584594727,23.503261184692384,31.879942321777346,7.708919048309326,126.46298217773438
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,18,attn_update,value_pre_norm,1013,14.766541468779403,14.7942476272583,11.889304924011231,17.53964195251465,8.437810897827148,20.730878829956055
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,18,attn_update,value_pre_para_perp_ratio,1013,0.69816157790333,0.6899908185005188,0.5212577223777771,0.8879528641700746,0.052664317190647125,1.2074319124221802
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,18,attn_update,value_pre_para_ratio,1013,0.564385665130628,0.567920214609276,0.4622304099371757,0.6639727171271483,0.0525914344611487,0.7701605821002238
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,18,attn_update,value_pre_perp_ratio,1013,0.8196883548405994,0.8230837129260872,0.7477567497974847,0.8867598712713506,0.6378501113172416,0.9986160931810705
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,18,attn_update,value_pre_self_alignment,1013,0.5643856665312597,0.5679202079772949,0.4622304439544678,0.6639727830886841,0.05259142816066742,0.770160436630249
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,18,attn_update,value_pre_self_value_norm,1013,31.349991994219494,31.265043258666992,26.376325607299805,35.975415802001955,9.50854206085205,124.92049407958984
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,19,attn_update,value_pre_norm,1013,16.385696454438854,16.295074462890625,13.16620807647705,19.911143112182618,7.813398361206055,25.15335464477539
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,19,attn_update,value_pre_para_perp_ratio,1013,0.6218107593230175,0.6189913153648376,0.4376115441322327,0.8076158523559571,0.2072068601846695,1.7098957300186157
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,19,attn_update,value_pre_para_ratio,1013,0.5195415622619526,0.5263200253747221,0.4009045782384828,0.6283011205313243,0.20289696490817577,0.8632156800328868
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,19,attn_update,value_pre_perp_ratio,1013,0.8481462263532628,0.8502865938775036,0.777970295262153,0.9161197700929911,0.5048352594220733,0.9792000412642715
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,19,attn_update,value_pre_self_alignment,1013,0.5195415618094852,0.5263199806213379,0.40090460181236265,0.6283010721206665,0.20289695262908936,0.8632156848907471
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,19,attn_update,value_pre_self_value_norm,1013,39.658857243906006,39.71623229980469,34.67054672241211,44.686859130859375,8.64273452758789,52.79703140258789
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,20,attn_update,value_pre_norm,1013,16.333613155624825,16.313047409057617,12.423340225219727,19.986646270751955,9.342839241027832,26.70062255859375
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,20,attn_update,value_pre_para_perp_ratio,1013,0.6724267589169217,0.6676072478294373,0.5131242871284485,0.8460817337036135,0.24852456152439117,1.11031174659729
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,20,attn_update,value_pre_para_ratio,1013,0.5510643618486163,0.555241661987305,0.4565306102968699,0.6459097910780304,0.2411877378348482,0.7430546996615862
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,20,attn_update,value_pre_perp_ratio,1013,0.8294568438049712,0.8316891001168912,0.7634135036202521,0.889707706197884,0.6692307245310245,0.9704784977608173
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,20,attn_update,value_pre_self_alignment,1013,0.5510643620305095,0.5552416443824768,0.4565306305885315,0.6459097146987917,0.24118772149085999,0.7430546879768372
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,20,attn_update,value_pre_self_value_norm,1013,38.97911390265025,39.047977447509766,34.31960678100586,43.35285873413086,9.416529655456543,53.66345977783203
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,21,attn_update,value_pre_norm,1013,17.462336979872617,17.402889251708984,13.858771133422852,20.936735153198246,10.389665603637695,29.458969116210938
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,21,attn_update,value_pre_para_perp_ratio,1013,0.6471036617282818,0.6423293352127075,0.49175951480865476,0.8111221909523012,0.2316300868988037,1.4045828580856323
value_pre-c4_len2048-prefill-hidden-tokens32,prefill,21,attn_update,value_pre_para_ratio,1013,0.5364774463900057,0.5404433284441871,0.44128801076931445,0.6299477520633754,0.22565570164008938,0.8146305031879153
