source,prompt_idx,prompt_token_count,phase,metric,n,mean,median,p10,p90,min,max
value_pre-c4_len128-prefill-hidden-tokens32,6,110,prefill,value_pre_self_alignment,252,0.4404242906187262,0.447218656539917,0.2729841709136963,0.5953754544258117,0.07164494693279266,0.7137449979782104
value_pre-c4_len128-prefill-hidden-tokens32,6,110,prefill,value_pre_self_value_norm,252,59.868710116261525,30.961501121520996,6.121136951446534,166.51971740722658,1.7296921014785767,347.658935546875
value_pre-c4_len128-prefill-hidden-tokens32,7,104,prefill,value_pre_norm,252,15.590719525776212,11.71468734741211,2.2833306312561037,34.06713523864747,1.095604658126831,66.21147918701172
value_pre-c4_len128-prefill-hidden-tokens32,7,104,prefill,value_pre_para_perp_ratio,252,0.4925666983934149,0.5025540590286255,0.23398295044898987,0.7270747721195221,0.08945999294519424,0.8685494661331177
value_pre-c4_len128-prefill-hidden-tokens32,7,104,prefill,value_pre_para_ratio,252,0.42809431379903956,0.4490362905976052,0.22782942203174825,0.5880669122573525,0.08910415401646161,0.6557418556130101
value_pre-c4_len128-prefill-hidden-tokens32,7,104,prefill,value_pre_perp_ratio,252,0.891641720347788,0.8935118314745882,0.8088122664416484,0.9737010315411971,0.7549850671959086,0.9960223294165734
value_pre-c4_len128-prefill-hidden-tokens32,7,104,prefill,value_pre_self_alignment,252,0.42809431278516374,0.44903630018234253,0.2278294250369072,0.5880668938159943,0.08910414576530457,0.6557419300079346
value_pre-c4_len128-prefill-hidden-tokens32,7,104,prefill,value_pre_self_value_norm,252,56.50455072001805,30.640538215637207,5.899400901794435,160.48462371826173,1.3461356163024902,409.41009521484375
value_pre-c4_len2048-prefill-hidden-tokens32,0,1934,prefill,value_pre_norm,4356,17.8589906654602,13.669546604156494,2.068096160888672,35.64975929260254,0.8168871998786926,141.834228515625
value_pre-c4_len2048-prefill-hidden-tokens32,0,1934,prefill,value_pre_para_perp_ratio,4356,0.5057377691711645,0.5103013217449188,0.2502187639474869,0.7485302984714508,0.01964190974831581,1.2997912168502808
value_pre-c4_len2048-prefill-hidden-tokens32,0,1934,prefill,value_pre_para_ratio,4356,0.43660351041692735,0.45453907546086025,0.24273534800271002,0.5992466800479364,0.019638120622146007,0.7925766798111544
value_pre-c4_len2048-prefill-hidden-tokens32,0,1934,prefill,value_pre_perp_ratio,4356,0.8872051092381935,0.8907267885896138,0.800564421240192,0.9700925041781969,0.6097723266431585,0.9998071088518858
value_pre-c4_len2048-prefill-hidden-tokens32,0,1934,prefill,value_pre_self_alignment,4356,0.4366035105034545,0.4545390456914902,0.242735356092453,0.5992466807365417,0.019638117402791977,0.7925766706466675
value_pre-c4_len2048-prefill-hidden-tokens32,0,1934,prefill,value_pre_self_value_norm,4356,62.12014268123852,32.99234962463379,6.550797462463379,167.92002868652344,0.9403376579284668,576.2423095703125
value_pre-c4_len2048-prefill-hidden-tokens32,1,2265,prefill,value_pre_norm,5112,16.75686042479506,13.425563335418701,2.072813057899475,32.053173446655286,0.7819430828094482,140.01856994628906
value_pre-c4_len2048-prefill-hidden-tokens32,1,2265,prefill,value_pre_para_perp_ratio,5112,0.4983720293415948,0.5014460682868958,0.23925769925117493,0.7441481113433838,0.002038045786321163,1.3394496440887451
value_pre-c4_len2048-prefill-hidden-tokens32,1,2265,prefill,value_pre_para_ratio,5112,0.4309715626608066,0.448247424780959,0.23269028756922486,0.5969911734908147,0.0020380414382389998,0.8013154006431212
value_pre-c4_len2048-prefill-hidden-tokens32,1,2265,prefill,value_pre_perp_ratio,5112,0.8895564840584912,0.8939095302586432,0.802247776290686,0.9725508656867239,0.5982422493098707,0.9999978926931982
value_pre-c4_len2048-prefill-hidden-tokens32,1,2265,prefill,value_pre_self_alignment,5112,0.43096989972705635,0.44824741780757904,0.23269030004739763,0.5969912230968475,-0.0042498428374528885,0.8013153076171875
value_pre-c4_len2048-prefill-hidden-tokens32,1,2265,prefill,value_pre_self_value_norm,5112,61.69280681345198,32.718116760253906,6.565834712982178,164.31851654052744,0.9071805477142334,626.5011596679688
value_pre-c4_len2048-prefill-hidden-tokens32,2,2069,prefill,value_pre_norm,4680,17.736188078894575,13.217817783355713,2.1491891860961916,39.69573822021486,0.7172008752822876,138.48899841308594
value_pre-c4_len2048-prefill-hidden-tokens32,2,2069,prefill,value_pre_para_perp_ratio,4680,0.512926185783944,0.5100570321083069,0.25845921933650967,0.7698000431060793,0.003464920213446021,1.2060519456863403
value_pre-c4_len2048-prefill-hidden-tokens32,2,2069,prefill,value_pre_para_ratio,4680,0.44088692814055797,0.45436640988802535,0.25023626824524375,0.6099940880224398,0.0034648996204289123,0.7698021168890934
value_pre-c4_len2048-prefill-hidden-tokens32,2,2069,prefill,value_pre_perp_ratio,4680,0.8847024588959272,0.8908149254536079,0.7924058915658836,0.9681847704058714,0.6382826950282081,0.9999940837729725
value_pre-c4_len2048-prefill-hidden-tokens32,2,2069,prefill,value_pre_self_alignment,4680,0.4408829600111438,0.45436643064022064,0.25023627281188965,0.6099940955638886,-0.00581838795915246,0.7698020935058594
value_pre-c4_len2048-prefill-hidden-tokens32,2,2069,prefill,value_pre_self_value_norm,4680,60.97103033849062,31.23007583618164,6.777536869049073,165.82242126464845,0.7936301827430725,596.5699462890625
value_pre-c4_len2048-prefill-hidden-tokens32,3,2180,prefill,value_pre_norm,4932,17.4974304293339,13.276525020599365,2.009015440940857,35.74505348205569,0.8407347202301025,190.11119079589844
value_pre-c4_len2048-prefill-hidden-tokens32,3,2180,prefill,value_pre_para_perp_ratio,4932,0.5139316400537224,0.5171005129814148,0.2501599133014679,0.7678109347820284,0.011246053501963615,1.7098957300186157
value_pre-c4_len2048-prefill-hidden-tokens32,3,2180,prefill,value_pre_para_ratio,4932,0.4414700437127638,0.459324188744353,0.24268163191398998,0.609002987214644,0.011245342931783532,0.8632156800328868
value_pre-c4_len2048-prefill-hidden-tokens32,3,2180,prefill,value_pre_perp_ratio,4932,0.8842193569623771,0.8882686958981534,0.7931679256006745,0.9701059504121007,0.5048352594220733,0.9999368003079548
value_pre-c4_len2048-prefill-hidden-tokens32,3,2180,prefill,value_pre_self_alignment,4932,0.4414440499745545,0.4593241512775421,0.24268163740634918,0.609002983570099,-0.06410099565982819,0.8632156848907471
value_pre-c4_len2048-prefill-hidden-tokens32,3,2180,prefill,value_pre_self_value_norm,4932,59.60831287761868,32.006893157958984,6.170396614074707,161.4097366333009,0.9040480852127075,566.6272583007812
value_pre-c4_len2048-prefill-hidden-tokens32,4,1860,prefill,value_pre_norm,4212,17.466547003215762,13.433929443359375,2.096533489227295,35.66172828674316,0.9403696060180664,139.34446716308594
value_pre-c4_len2048-prefill-hidden-tokens32,4,1860,prefill,value_pre_para_perp_ratio,4212,0.5087947504442797,0.5160468816757202,0.24641786962747575,0.7579175472259522,0.020340897142887115,1.1031675338745117
value_pre-c4_len2048-prefill-hidden-tokens32,4,1860,prefill,value_pre_para_ratio,4212,0.43831905979096686,0.4585852845831381,0.23926075809702135,0.6040307123254013,0.020336691620265242,0.740901885184853
value_pre-c4_len2048-prefill-hidden-tokens32,4,1860,prefill,value_pre_perp_ratio,4212,0.8859883669095879,0.8886503852154579,0.7969610015192998,0.9709554011672478,0.6716132278052037,0.9997932389588841
value_pre-c4_len2048-prefill-hidden-tokens32,4,1860,prefill,value_pre_self_alignment,4212,0.43831906001395765,0.45858530700206757,0.23926075249910356,0.6040306866168975,0.020336687564849854,0.7409019470214844
value_pre-c4_len2048-prefill-hidden-tokens32,4,1860,prefill,value_pre_self_value_norm,4212,60.38796629542299,32.373727798461914,6.822031831741333,163.3278594970703,1.3867911100387573,557.88916015625
value_pre-c4_len2048-prefill-hidden-tokens32,5,1817,prefill,value_pre_norm,4104,16.340768959380497,12.900872230529785,2.015416693687439,31.564504432678234,0.7824957966804504,160.18975830078125
value_pre-c4_len2048-prefill-hidden-tokens32,5,1817,prefill,value_pre_para_perp_ratio,4104,0.4847086399324333,0.48871858417987823,0.2398350089788437,0.7153556048870087,0.026001248508691788,1.4926165342330933
value_pre-c4_len2048-prefill-hidden-tokens32,5,1817,prefill,value_pre_para_ratio,4104,0.4230682526551122,0.4390866162522831,0.23322124167671832,0.5818142494482612,0.025992464650811013,0.8307836227031484
value_pre-c4_len2048-prefill-hidden-tokens32,5,1817,prefill,value_pre_perp_ratio,4104,0.8947495822891294,0.8984446852426441,0.8133217332370601,0.9724236696038142,0.5565954772378284,0.9996621907943817
value_pre-c4_len2048-prefill-hidden-tokens32,5,1817,prefill,value_pre_self_alignment,4104,0.4230551293544602,0.4390866756439209,0.23322125077247619,0.5818142056465149,-0.026927821338176727,0.8307836055755615
value_pre-c4_len2048-prefill-hidden-tokens32,5,1817,prefill,value_pre_self_value_norm,4104,60.89315002657052,32.96370887756348,6.673905515670777,162.24912719726564,0.8903432488441467,590.8329467773438
value_pre-c4_len2048-prefill-hidden-tokens32,6,1959,prefill,value_pre_norm,4428,16.557631886829206,12.315314292907715,2.151374435424805,34.58528823852539,1.033051609992981,99.9521255493164
value_pre-c4_len2048-prefill-hidden-tokens32,6,1959,prefill,value_pre_para_perp_ratio,4428,0.5027390854167537,0.5063954889774323,0.2583081126213074,0.7415188968181612,0.00697805592790246,1.1781655550003052
value_pre-c4_len2048-prefill-hidden-tokens32,6,1959,prefill,value_pre_para_ratio,4428,0.43550557793133554,0.4517722834879585,0.25009913755873486,0.5956310490334221,0.006977885524220322,0.7623991489447726
value_pre-c4_len2048-prefill-hidden-tokens32,6,1959,prefill,value_pre_perp_ratio,4428,0.8885517691497836,0.8921332924278426,0.803258147351298,0.9682202243738285,0.6471069677600227,0.999975579046766
value_pre-c4_len2048-prefill-hidden-tokens32,6,1959,prefill,value_pre_self_alignment,4428,0.435502426631079,0.4517723023891449,0.2500991582870483,0.5956310749053956,-0.006977887824177742,0.7623991370201111
value_pre-c4_len2048-prefill-hidden-tokens32,6,1959,prefill,value_pre_self_value_norm,4428,59.67830362027576,30.669876098632812,6.771929216384889,163.06988830566416,1.3713891506195068,520.6387939453125
value_pre-c4_len2048-prefill-hidden-tokens32,7,2061,prefill,value_pre_norm,4644,17.099073097674523,13.355328559875488,2.1001241207122803,34.50160179138183,0.8047396540641785,96.31657409667969
value_pre-c4_len2048-prefill-hidden-tokens32,7,2061,prefill,value_pre_para_perp_ratio,4644,0.5044966484889273,0.5138979554176331,0.24784560054540633,0.744631314277649,0.01045367494225502,1.3382008075714111
value_pre-c4_len2048-prefill-hidden-tokens32,7,2061,prefill,value_pre_para_ratio,4644,0.4357360157406909,0.45707526556510586,0.24056699583724905,0.5972405658600446,0.010453104831141525,0.801047726181105
value_pre-c4_len2048-prefill-hidden-tokens32,7,2061,prefill,value_pre_perp_ratio,4644,0.8876078612278352,0.8894280435291224,0.8020621154963584,0.9706325056832537,0.5986005301241255,0.999945424030976
value_pre-c4_len2048-prefill-hidden-tokens32,7,2061,prefill,value_pre_self_alignment,4644,0.4357315138179703,0.45707525312900543,0.2405670091509819,0.5972405970096588,-0.010453104972839355,0.801047682762146
value_pre-c4_len2048-prefill-hidden-tokens32,7,2061,prefill,value_pre_self_value_norm,4644,59.27530234311543,31.46004295349121,6.655103969573974,160.32529296875,0.8137598633766174,505.5365905761719
value_pre-c4_len512-prefill-hidden-tokens32,0,476,prefill,value_pre_norm,1080,15.569130071335369,12.435928344726562,1.9812050819396974,32.284867477416995,1.0353714227676392,83.454833984375
value_pre-c4_len512-prefill-hidden-tokens32,0,476,prefill,value_pre_para_perp_ratio,1080,0.511707473339306,0.5184003412723541,0.24695700854063035,0.7673751831054687,0.08388114720582962,1.0380549430847168
value_pre-c4_len512-prefill-hidden-tokens32,0,476,prefill,value_pre_para_ratio,1080,0.4400101199755171,0.4602344291524574,0.2397541608631291,0.6087854738216706,0.08358759437610175,0.7201844547823655
value_pre-c4_len512-prefill-hidden-tokens32,0,476,prefill,value_pre_perp_ratio,1080,0.8849689527666542,0.8877973599168105,0.7933348799386631,0.9708336225041113,0.6937826219116198,0.9965003887814344
value_pre-c4_len512-prefill-hidden-tokens32,0,476,prefill,value_pre_self_alignment,1080,0.44001011911917615,0.46023450791835785,0.2397541642189026,0.6087855100631714,0.08358760178089142,0.7201844453811646
value_pre-c4_len512-prefill-hidden-tokens32,0,476,prefill,value_pre_self_value_norm,1080,60.86579079065058,32.15852355957031,6.430425357818604,162.82770538330078,1.687408208847046,555.6023559570312
value_pre-c4_len512-prefill-hidden-tokens32,1,476,prefill,value_pre_norm,1080,14.899183626748897,11.738757133483887,2.040583300590515,28.054598045349124,1.066535472869873,89.2898178100586
value_pre-c4_len512-prefill-hidden-tokens32,1,476,prefill,value_pre_para_perp_ratio,1080,0.47928417197739087,0.4726400822401047,0.2508964896202087,0.7201879918575287,0.0036844108253717422,0.9765839576721191
value_pre-c4_len512-prefill-hidden-tokens32,1,476,prefill,value_pre_para_ratio,1080,0.41910475053333096,0.4273151838793414,0.24335391881107304,0.5844051754469209,0.003684386205695365,0.6986809061795415
value_pre-c4_len512-prefill-hidden-tokens32,1,476,prefill,value_pre_perp_ratio,1080,0.8966235361858588,0.9041027371132705,0.8114619983815873,0.9699375502255931,0.7154335295908636,0.9999933077964172
value_pre-c4_len512-prefill-hidden-tokens32,1,476,prefill,value_pre_self_alignment,1080,0.4191047517395216,0.42731519043445587,0.24335391223430633,0.5844051718711853,0.0036843859124928713,0.6986809372901917
