model,layer,head,delta_loss,bootstrap_delta_loss,ci95_low,ci95_high,p_improve,sign_flip_p,ci_class,para_ratio,para_over_ref,edit_over_y,edit_over_ref,samples,tokens,sign_flip_q_global,fdr_global_class,sign_flip_q_model,fdr_model_class
qwen3_4b,6,24,0.0006290440870504455,0.000628879821704668,-0.0004718696029221386,0.0018040195744074624,0.135,0.2853714628537146,inconclusive,0.07718873030076691,0.08815555036600826,0.20088187323676215,0.08815554987881832,128,19526,0.451576820339944,inconclusive,0.49056147016877266,inconclusive
qwen3_4b,6,25,0.0004112855535569615,0.0004112452473123213,-0.0006926177636198306,0.0016090007814928153,0.2386,0.48775122487751227,inconclusive,0.24975052367072756,0.14539214922246044,0.40090459675015466,0.1453921497096504,128,19526,0.6594946139188897,inconclusive,0.6855314468553144,inconclusive
qwen3_4b,6,26,0.00019402715449912122,0.00019392021657452772,-0.0012481499557142925,0.0017328233711284772,0.4224,0.8148185181481852,inconclusive,0.4104937069869742,0.24549269889354097,0.5266748206673302,0.24549269889354097,128,19526,0.8922727499113207,inconclusive,0.8691397526913975,inconclusive
qwen3_4b,6,27,0.0008944654323079781,0.0008944160171699465,-0.0005757018516184991,0.002534625270167641,0.1234,0.2783721627837216,inconclusive,0.1664788432504939,0.10795386839339255,0.2826774928457131,0.10795386741901267,128,19526,0.4465153484651535,inconclusive,0.49056147016877266,inconclusive
qwen3_4b,6,28,-0.0002547684817679752,-0.00025482728663714805,-0.002824814413316239,0.0019597876096231633,0.5692,0.8489151084891511,inconclusive,0.49199000488904854,0.2847786242020998,0.5871577997317259,0.2847786242020998,128,19526,0.9210748098122519,inconclusive,0.8955587957687748,inconclusive
qwen3_4b,6,29,0.00013926243374218217,0.00013920025882644755,-0.0008274242064575506,0.0011071643290663966,0.387,0.7748225177482252,inconclusive,0.12659754454708952,0.10953405826027823,0.2791861932396432,0.10953405728589834,128,19526,0.8615787069941655,inconclusive,0.835763614649771,inconclusive
qwen3_4b,6,30,-6.119144826133294e-05,-6.123488034599325e-05,-0.0011006536414962388,0.0009664901299379218,0.532,0.9075092490750925,inconclusive,0.22781505852671266,0.12512370434757394,0.38985228654220794,0.12512370337319403,128,19526,0.9538783347942578,inconclusive,0.9367837409807407,inconclusive
qwen3_4b,6,31,-0.0002280487995172109,-0.00022814483363206155,-0.0015062049457999595,0.0010332234233764522,0.6256,0.7270272972702729,inconclusive,0.10084022239402489,0.11318014736833243,0.2568731500423427,0.11318014736833243,128,19526,0.8375354464553544,inconclusive,0.8308883397374548,inconclusive
qwen3_4b,18,0,-0.001992260519627642,-0.001992322902118746,-0.003097739343613039,-0.0008266526394400549,0.9992,0.0012998700129987,improve,0.21080317588601533,0.2025765732025887,0.412281072429009,0.2025765732025887,128,19526,0.005272712165403178,improve,0.0051994800519948,improve
qwen3_4b,18,1,-0.0006241302662157722,-0.0006241803529210526,-0.0016281464903033416,0.0003542974660364239,0.8868,0.23057694230576942,inconclusive,0.14294960392237013,0.13672410421749032,0.3359236121634414,0.1367241037303004,128,19526,0.40281062802810624,inconclusive,0.4517425808439564,inconclusive
qwen3_4b,18,2,0.013449740290190082,0.013449646148673826,0.011517808035387203,0.01536091919387685,0.0,9.999000099990002e-05,degrade,0.4444432518034602,0.3283972251765421,0.6020618618980983,0.3283972251765421,128,19526,0.0005332800053328001,degrade,0.0005332800053328001,degrade
qwen3_4b,18,3,-0.004639096989270897,-0.004639134303988412,-0.005943643283199344,-0.003420595377653046,1.0,9.999000099990002e-05,improve,0.23283685852284633,0.2181167422278783,0.39777830082490223,0.2181167422278783,128,19526,0.0005332800053328001,improve,0.0005332800053328001,improve
qwen3_4b,18,4,0.008298105530766708,0.008298023733877322,0.0065161491144607765,0.010221473519175465,0.0,9.999000099990002e-05,degrade,0.4564925406932222,0.21326042262987158,0.5842179786808799,0.21326041970673193,128,19526,0.0005332800053328001,degrade,0.0005332800053328001,degrade
qwen3_4b,18,5,-0.0012926224569165257,-0.0012926932034721557,-0.002287680388608923,-0.0003453555285077136,0.9974,0.010698930106989302,improve,0.18319476579493185,0.12379554076213033,0.36352440650131207,0.12379554076213033,128,19526,0.034621256975426055,improve,0.03668204608110618,improve
qwen3_4b,18,6,-0.0021422883471076126,-0.0021423703759930043,-0.002944914080193439,-0.0013396428777561124,1.0,9.999000099990002e-05,improve,0.18825464406993958,0.12009297123661748,0.3684677172742432,0.12009297074942753,128,19526,0.0005332800053328001,improve,0.0005332800053328001,improve
qwen3_4b,18,7,-0.00575350904323102,-0.005753540924359061,-0.007106049276452428,-0.004439057881889302,1.0,9.999000099990002e-05,improve,0.20487760005478353,0.14952121067168916,0.39114128590239117,0.14952121067168916,128,19526,0.0005332800053328001,improve,0.0005332800053328001,improve
qwen3_4b,18,8,-0.0023623349956469752,-0.0023624592844267477,-0.0032874517510191876,-0.0014145718447108344,1.0,9.999000099990002e-05,improve,0.18629519972916916,0.11535958817483212,0.37537863622984513,0.11535958817483212,128,19526,0.0005332800053328001,improve,0.0005332800053328001,improve
qwen3_4b,18,9,-0.00019729053169514899,-0.00019734788353687597,-0.0009622818837124019,0.0005772692465031919,0.701,0.6302369763023697,inconclusive,0.1343521429965627,0.09417299950259855,0.3055398914244592,0.09417299950259855,128,19526,0.769102750741875,inconclusive,0.7942901912340411,inconclusive
qwen3_4b,18,10,0.000259394725302009,0.00025933226954921105,-0.0004547993114455556,0.0010268433419191936,0.246,0.48465153484651535,inconclusive,0.09185043032903172,0.06927198724271694,0.24662597091109664,0.06927198797350186,128,19526,0.6583945379047,inconclusive,0.6855314468553144,inconclusive
