perp_scale	n_prompts	mean_per_text_baseline_ppl	mean_per_text_xsa_ppl	mean_per_text_delta_ppl_xsa	mean_per_text_residual_attn_ppl	mean_per_text_delta_ppl_residual_attn	mean_per_text_residual_mlp_ppl	mean_per_text_delta_ppl_residual_mlp	mean_per_text_residual_both_ppl	mean_per_text_delta_ppl_residual_both	weighted_baseline_loss	weighted_baseline_ppl	weighted_xsa_loss	weighted_delta_loss_xsa	weighted_xsa_ppl	weighted_residual_attn_loss	weighted_delta_loss_residual_attn	weighted_residual_attn_ppl	weighted_residual_mlp_loss	weighted_delta_loss_residual_mlp	weighted_residual_mlp_ppl	weighted_residual_both_loss	weighted_delta_loss_residual_both	weighted_residual_both_ppl	median_baseline_loss	median_xsa_loss	median_delta_loss_xsa
-0.25	1024	91.72845411	3127994.08624686	3127902.35779275	1557042.43669063	1556950.70823653	232096366.79076973	232096275.06231585	17359398.79815358	17359307.06969949	3.89644276	49.22702483	14.76709078	10.87064802	2589798.87467679	14.08848339	10.19204063	1313864.54317415	18.68689581	14.79045305	130501569.12158370	16.25169142	12.35524867	11429307.23934407	4.00119698	14.86221933	10.75735509
-0.125	2048	38.16985382	3475283.11813970	3475244.94828588	2538704.96651173	2538666.79665791	58276680.75087436	58276642.58102052	1043032629.84524727	1043032591.67539275	3.25157423	25.83097181	14.91853283	11.66695860	3013259.17065772	14.54363905	11.29206482	2071200.71116044	15.90193080	12.65035657	8056024.84732884	18.53126217	15.27968794	111692729.49782401	3.30591965	14.97878170	11.66115832
0.0	1024	91.72845411	1300758.65198981	1300666.92353570	2304007.99739645	2303916.26894235	215828783.61354986	215828691.88509551	inf	inf	3.89644276	49.22702483	13.96781562	10.07137287	1164515.43636352	14.59739812	10.70095536	2185593.80779649	18.84762239	14.95117963	153256322.24885663	50.78130338	46.88486062	11325042483802507575296.00000000	4.00119698	13.98510456	9.94873703
0.125	2048	38.16985382	21432.30889678	21394.13904296	41743.01745061	41704.84759678	29456658.79312140	29456620.62326762	3649286.45126998	3649248.28141617	3.25157423	25.83097181	9.76471289	6.51313866	17408.48285518	9.95633696	6.70476273	21085.41743227	14.51664875	11.26507452	2016046.04735897	14.89204927	11.64047504	2934504.78927766	3.30591965	9.74872828	6.45738018
0.25	1024	91.72845411	1286.33065079	1194.60219668	1177.46558635	1085.73713224	2174116.08967815	2174024.36122404	334368.78776216	334277.05930805	3.89644276	49.22702483	6.88639929	2.98995653	978.87043113	6.67739814	2.78095538	794.24989165	13.76324163	9.86679887	949073.59596122	11.83048275	7.93403999	137376.79328595	4.00119698	6.95715356	2.90536630
0.375	2048	38.16985382	126.66774590	88.49789208	159.72355009	121.55369627	1677852824.91635394	1677852786.74650192	11577.86270023	11539.69284641	3.25157423	25.83097181	4.48592741	1.23435318	88.75922880	4.63964969	1.38807546	103.50808083	14.90752903	11.65595480	2980283.62501464	5.89900094	2.64742671	364.67295685	3.30591965	4.53393149	1.20085502
0.5	1024	91.72845411	93.59834722	1.86989312	121.72613758	29.99768347	7272.26758878	7180.53913467	525.56327224	433.83481813	3.89644276	49.22702483	4.02347054	0.12702778	55.89475468	4.15359616	0.25715341	63.66253003	8.35500719	4.45856443	4251.41515904	5.32171126	1.42526850	204.73393442	4.00119698	4.11037111	0.09467816
0.625	2048	38.16985382	41.34557709	3.17572327	41.36414030	3.19428648	116.25727032	78.08741650	54.62256968	16.45271586	3.25157423	25.83097181	3.32808414	0.07650991	27.88486707	3.32282814	0.07125391	27.73868869	4.17767908	0.92610486	65.21432052	3.57565955	0.32408532	35.71817101	3.30591965	3.36984217	0.07338202
0.75	1024	91.72845411	84.13107946	-7.59737465	81.94776602	-9.78068808	117.69897541	25.97052130	86.74052365	-4.98793046	3.89644276	49.22702483	3.82457266	-0.07187010	45.81321829	3.80534653	-0.09109623	44.94082079	4.21698101	0.32053825	67.82840160	3.93134191	0.03489915	50.97533617	4.00119698	3.92357659	-0.07570505
0.875	2048	38.16985382	37.52007254	-0.64978129	37.50401329	-0.66584053	41.40559048	3.23573666	38.95733638	0.78748256	3.25157423	25.83097181	3.23235195	-0.01922228	25.33918351	3.23228368	-0.01929055	25.33745359	3.33035717	0.07878294	27.94832226	3.27268573	0.02111150	26.38209948	3.30591965	3.28320611	-0.01892686
1.0	1024	91.72845411	91.72845411	0.00000000	91.72845411	0.00000000	91.72845411	0.00000000	91.72845411	0.00000000	3.89644276	49.22702483	3.89644276	0.00000000	49.22702483	3.89644276	0.00000000	49.22702483	3.89644276	0.00000000	49.22702483	3.89644276	0.00000000	49.22702483	4.00119698	4.00119698	0.00000000
1.125	2048	38.16985382	39.68740017	1.51754635	39.65429494	1.48444112	39.25635924	1.08650542	39.43491452	1.26506070	3.25157423	25.83097181	3.28984391	0.03826968	26.83867415	3.28906302	0.03748879	26.81772433	3.26950747	0.01793324	26.29838337	3.27652509	0.02495087	26.48358467	3.30591965	3.34092307	0.03607059
1.25	1024	91.72845411	113.98384556	22.25539145	116.37478501	24.64633090	97.02619838	5.29774427	103.35704102	11.62858692	3.89644276	49.22702483	4.08507259	0.18862984	59.44625304	4.10268257	0.20623981	60.50237207	3.95091554	0.05447278	51.98293751	4.00884760	0.11240484	55.08335575	4.00119698	4.20567870	0.19040775
1.375	2048	38.16985382	45.36972338	7.19986956	44.53005314	6.36019932	52.57516892	14.40531510	52.67222040	14.50236658	3.25157423	25.83097181	3.41801177	0.16643754	30.50869628	3.40156718	0.14999295	30.01109607	3.52303273	0.27145850	33.88704318	3.51082566	0.25925143	33.47589606	3.30591965	3.47582936	0.15759170
1.5	1024	91.72845411	137.70884510	45.98039100	148.35934525	56.63089114	132.78301053	41.05455643	171.02552136	79.29706726	3.89644276	49.22702483	4.26732864	0.37088588	71.33083042	4.31499113	0.41854837	74.81295961	4.22059131	0.32414856	68.07372535	4.38514408	0.48870132	80.24978444	4.00119698	4.39787412	0.36645699
