method,component,layer,alpha,alpha_std,para_abs,para_abs_std,perp_abs,perp_abs_std,x_norm,x_norm_std,delta_norm,delta_norm_std,delta_over_x,delta_over_x_std,para_over_x,para_over_x_std,perp_over_x,perp_over_x_std,perp_ratio,perp_ratio_std,count
dense_baseline_track,attn_out,16,-1.0,0.0,9.016239166259766,1.0635262727737427,0.0,0.0,9.016239166259766,1.0635262727737427,9.016239166259766,1.0635262727737427,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,attn_out,17,-1.0,0.0,10.008103370666504,1.3305584192276,0.0,0.0,10.008103370666504,1.3305584192276,10.008103370666504,1.3305584192276,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,attn_out,18,-1.0,0.0,10.499770164489746,1.513670563697815,0.0,0.0,10.499770164489746,1.513670563697815,10.499770164489746,1.513670563697815,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,attn_out,19,-1.0,0.0,14.262450218200684,1.136812686920166,0.0,0.0,14.262450218200684,1.136812686920166,14.262450218200684,1.136812686920166,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,attn_out,20,-1.0,0.0,10.422728538513184,1.281166672706604,0.0,0.0,10.422728538513184,1.281166672706604,10.422728538513184,1.281166672706604,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,attn_out,21,-1.0,0.0,11.00924301147461,1.2629848718643188,0.0,0.0,11.00924301147461,1.2629848718643188,11.00924301147461,1.2629848718643188,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,attn_out,22,-1.0,0.0,17.58876609802246,3.5424110889434814,0.0,0.0,17.58876609802246,3.5424110889434814,17.58876609802246,3.5424110889434814,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,attn_out,23,-1.0,0.0,17.396305084228516,5.1606221199035645,0.0,0.0,17.396305084228516,5.1606221199035645,17.396305084228516,5.1606221199035645,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,attn_out,24,-1.0,0.0,15.167145729064941,3.3803374767303467,0.0,0.0,15.167145729064941,3.3803374767303467,15.167145729064941,3.3803374767303467,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,attn_out,25,-1.0,0.0,13.57285213470459,4.791080474853516,0.0,0.0,13.57285213470459,4.791080474853516,13.57285213470459,4.791080474853516,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,attn_out,26,-1.0,0.0,13.742465019226074,4.162558078765869,0.0,0.0,13.742465019226074,4.162558078765869,13.742465019226074,4.162558078765869,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,attn_out,27,-1.0,0.0,15.214396476745605,4.473259925842285,0.0,0.0,15.214396476745605,4.473259925842285,15.214396476745605,4.473259925842285,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,attn_out,28,-1.0,0.0,17.34990119934082,2.7296555042266846,0.0,0.0,17.34990119934082,2.7296555042266846,17.34990119934082,2.7296555042266846,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,attn_out,29,-1.0,0.0,15.996867179870605,6.065427780151367,0.0,0.0,15.996867179870605,6.065427780151367,15.996867179870605,6.065427780151367,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
dense_baseline_track,attn_out,30,-1.0,0.0,27.031532287597656,7.105592250823975,0.0,0.0,27.031532287597656,7.105592250823975,27.031532287597656,7.105592250823975,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
