setting	method	focus_layer	component	layer	alpha	alpha_std	para_abs	para_abs_std	perp_abs	perp_abs_std	x_norm	x_norm_std	delta_norm	delta_norm_std	delta_over_x	delta_over_x_std	para_over_x	para_over_x_std	perp_over_x	perp_over_x_std	perp_ratio	perp_ratio_std	count	run_dir
wanda_2_4	wanda_2_4_l3	3	mlp_out	3	-0.39756762981414795	0.08858579397201538	2.4255313873291016	1.845104694366455	1.510891079902649	0.40941357612609863	6.195565700531006	5.021823406219482	2.916649103164673	1.7975497245788574	0.5090826153755188	0.08753164857625961	0.39756765961647034	0.08858563005924225	0.30623650550842285	0.08449060469865799	0.3815929591655731	0.16327515244483948	12.0	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_2_4_l3
wanda_2_4	wanda_2_4_l30	30	attn_out	30	-0.09567055106163025	0.13095511496067047	4.03217077255249	3.3014824390411377	17.595882415771484	3.269127607345581	27.031532287597656	7.105592250823975	18.2646541595459	3.723297595977783	0.6876627802848816	0.0757276862859726	0.13494251668453217	0.08995895832777023	0.6669838428497314	0.08628618717193604	0.9382906556129456	0.0741729587316513	12.0	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_2_4_l30
wanda_2_4	wanda_2_4_l30	30	block_out	30	-0.29662927985191345	0.03721393272280693	20.131032943725586	3.945621967315674	28.85370445251465	5.036445617675781	67.50605773925781	7.348269939422607	35.210445404052734	6.241234302520752	0.5195955634117126	0.05523165687918663	0.29662927985191345	0.03721393272280693	0.42609620094299316	0.04580727964639664	0.6734190583229065	0.038656413555145264	12.0	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_2_4_l30
wanda_2_4	wanda_2_4_l30	30	mlp_out	30	-0.34093597531318665	0.04605279490351677	20.352630615234375	4.552066802978516	21.928415298461914	4.1900715827941895	59.12934494018555	6.684651851654053	29.96246337890625	5.967711925506592	0.5031920671463013	0.056053806096315384	0.34093597531318665	0.04605279490351677	0.3690767288208008	0.04205300286412239	0.54044109582901	0.05568386986851692	12.0	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_2_4_l30
wanda_2_4	wanda_2_4_l31	31	attn_out	31	-0.05266638472676277	0.12393034994602203	3.657761812210083	2.826594591140747	25.503976821899414	4.903201103210449	33.54866409301758	5.896807670593262	25.995101928710938	4.485286712646484	0.7911502718925476	0.15857060253620148	0.10978192836046219	0.07797697186470032	0.7769147753715515	0.17127260565757751	0.9568089842796326	0.05229911580681801	12.0	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_2_4_l31
wanda_2_4	wanda_2_4_l31	31	block_out	31	-0.2782039940357208	0.029775023460388184	20.755197525024414	3.0252537727355957	35.49106979370117	7.051568031311035	74.56813049316406	7.059042453765869	41.29656219482422	6.623064994812012	0.551506757736206	0.04930311068892479	0.2782039940357208	0.029775023460388184	0.47335347533226013	0.06513787060976028	0.7333043217658997	0.0856192484498024	12.0	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_2_4_l31
wanda_2_4	wanda_2_4_l31	31	mlp_out	31	-0.331940621137619	0.025043461471796036	21.53546714782715	3.9300408363342285	23.724512100219727	4.556750774383545	64.48601531982422	7.8522114753723145	32.08157730102539	5.797432899475098	0.49479949474334717	0.03977394849061966	0.331940621137619	0.025043461471796036	0.36607828736305237	0.03979286178946495	0.5467881560325623	0.05155068635940552	12.0	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_2_4_l31
wanda_2_4	wanda_2_4_l32	32	attn_out	32	-0.28275564312934875	0.11633281409740448	14.58493423461914	6.977833271026611	25.65960693359375	6.033258438110352	50.74318313598633	11.684596061706543	30.3847713470459	5.743845462799072	0.6073032021522522	0.0471419058740139	0.28275564312934875	0.11633281409740448	0.5173729658126831	0.09940151870250702	0.7383618950843811	0.20654051005840302	12.0	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_2_4_l32
wanda_2_4	wanda_2_4_l32	32	block_out	32	-0.296066552400589	0.04051870107650757	27.66120147705078	5.237329959869385	38.91749954223633	8.282156944274902	93.04443359375	10.82694149017334	48.008453369140625	8.421773910522461	0.5128396153450012	0.03710656240582466	0.296066552400589	0.04051870107650757	0.41522911190986633	0.05166243016719818	0.6573335528373718	0.10181000828742981	12.0	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_2_4_l32
wanda_2_4	wanda_2_4_l32	32	mlp_out	32	-0.3097919523715973	0.035200197249650955	23.7447452545166	5.470423698425293	28.4991397857666	5.960701942443848	75.88117218017578	10.376106262207031	37.12527084350586	7.948802947998047	0.4846838414669037	0.042346611618995667	0.3097919523715973	0.035199880599975586	0.37227562069892883	0.03020642139017582	0.5917611718177795	0.037606772035360336	12.0	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_2_4_l32
